2383
3000 3000
53 857 442
53 1070 390
53 1194 474
53 1292 813
53 1370 993
53 1591 954
53 2853 493
54 45 409
54 724 550
54 734 450
54 1216 529
54 1846 381
54 2308 181
54 2310 920
54 2501 292
55 962 951
55 1000 384
55 1760 553
56 447 164
56 960 489
56 1188 305
56 1677 448
56 2661 280
56 2774 348
56 2877 693
57 260 442
57 330 758
57 665 245
57 765 863
57 2324 694
57 2831 348
58 45 513
58 1220 855
58 1413 276
58 1465 955
58 2510 440
58 2692 635
59 430 325
59 535 855
59 554 56
59 2382 477
59 2575 730
59 2635 799
60 536 889
60 1025 551
60 1339 540
60 1501 270
60 2070 646
60 2242 980
60 2524 84
60 2764 902
61 1 195
61 197 221
61 355 338
61 1576 364
61 2742 78
62 357 922
62 630 442
62 703 39
62 1769 774
62 2294 104
62 2524 750
63 1052 404
63 1221 738
63 1320 697
63 2241 484
63 2453 267
64 125 892
64 364 211
64 2075 139
64 2709 422
64 2890 297
65 577 657
65 673 296
65 1352 130
66 938 619
66 1563 648
66 2227 393
66 2336 352
67 174 792
67 183 154
67 277 553
67 886 648
67 933 781
67 1374 139
67 2759 972
68 511 135
68 878 422
68 1020 828
68 1155 750
68 1408 953
68 1538 172
69 492 750
69 1082 992
69 2413 665
70 240 515
70 350 448
70 851 922
70 2144 643
71 657 89
71 869 29
71 1010 11
71 1387 815
71 1443 741
71 1868 381
71 2220 823
71 2753 759
72 510 318
72 803 504
72 1441 449
73 452 134
73 660 352
73 724 142
73 2358 713
73 2702 626
73 2901 128
74 1955 647
74 2506 866
74 2782 912
75 598 901
75 833 403
75 1742 635
75 1944 401
76 87 299
76 307 31
76 472 188
76 648 649
76 1018 477
76 1491 969
76 1526 440
76 2161 899
77 133 844
77 803 946
77 823 45
77 1103 505
77 1859 252
78 102 369
78 895 807
78 1172 719
78 1255 910
78 1891 244
78 2008 213
78 2486 83
78 2959 544
79 673 835
79 948 215
79 968 29
79 1376 195
79 2627 956
79 2843 736
80 310 384
80 1093 163
80 1699 59
80 1873 559
80 2328 711
80 2438 191
81 253 734
81 838 600
81 853 450
81 956 662
81 971 462
81 1019 492
81 1329 660
81 2839 621
82 279 959
82 351 697
83 324 325
83 430 613
83 1062 91
83 1871 461
83 2806 830
84 629 412
84 909 117
84 1307 659
84 1322 892
84 2399 215
85 329 568
85 339 490
85 651 286
85 809 463
85 2700 785
85 2704 53
86 116 811
86 1055 414
86 1105 185
86 1361 926
87 76 299
87 194 823
87 326 793
87 1789 844
87 2163 384
87 2759 849
87 2873 933
88 650 806
88 1660 564
88 1815 736
88 2563 121
88 2851 6
88 2907 22
88 2994 760
89 308 151
89 353 905
89 1823 335
89 2327 593
89 2567 337
89 2713 863
89 2837 324
90 232 750
90 909 427
90 1070 420
90 1255 16
90 1427 547
90 2061 260
90 2121 291
90 2145 438
90 2394 148
90 2716 32
90 2871 611
91 749 105
91 839 227
91 2238 456
92 14 370
92 437 158
92 1195 351
92 1287 575
92 1922 563
92 2148 375
92 2366 871
92 2759 96
93 465 45
93 942 523
93 951 583
93 957 451
93 1848 126
93 2595 516
93 2717 596
94 752 706
94 1040 333
94 1223 45
94 1306 395
94 2483 694
94 2740 127
95 122 795
95 153 770
95 444 390
95 759 997
95 1633 383
95 2318 777
95 2419 104
95 2714 338
95 2784 384
95 2955 659
96 442 173
96 545 62
96 654 470
96 1446 33
96 2847 628
97 527 176
97 661 270
97 926 469
97 1181 597
97 1774 354
97 2330 585
97 2727 954
98 513 846
98 1226 167
98 1917 532
98 2178 448
98 2243 498
98 2642 534
99 807 328
99 2369 824
100 237 56
100 1454 368
100 1569 654
100 1882 418
100 2510 48
100 2958 74
101 445 202
101 701 139
101 1362 570
101 2464 618
101 2577 712
101 2894 647
102 78 369
102 230 228
102 282 721
102 559 581
102 1275 694
102 1498 750
102 1532 972
103 1235 158
103 1828 263
103 2184 709
103 2387 753
103 2907 759
104 1007 924
104 1053 530
104 1497 217
104 2422 782
104 2826 772
105 187 996
105 365 887
105 561 369
105 693 45
105 1052 79
105 1345 81
105 1509 982
105 1691 355
105 2579 569
105 2591 335
106 432 250
106 444 845
106 854 444
106 1853 999
106 1929 237
107 646 854
107 1065 341
107 1395 946
107 2334 76
107 2625 88
108 334 190
108 414 573
108 913 274
108 1361 156
108 1414 688
108 1444 633
108 1683 314
108 2361 272
108 2490 330
108 2524 646
108 2589 500
109 156 471
109 905 608
109 2040 663
109 2348 77
109 2555 201
110 245 436
110 403 133
110 1114 414
110 1255 806
110 1937 665
110 2820 2
110 2836 471
111 483 299
111 783 754
111 1162 298
111 1334 331
111 1529 172
111 1721 704
111 2402 763
111 2438 328
111 2454 886
111 2500 307
112 383 353
112 668 992
112 784 171
112 1054 518
112 1844 546
112 1908 171
113 639 352
113 841 292
113 863 368
113 1479 558
113 1540 194
113 2209 280
114 245 609
114 1133 733
114 1762 520
114 1885 21
114 1972 348
114 2228 133
114 2365 49
114 2927 408
115 396 838
115 412 42
115 838 188
115 1573 639
115 1659 495
115 1783 452
115 2347 823
115 2456 987
116 86 811
116 186 586
116 400 929
116 1295 580
116 2840 744
117 1653 541
117 2891 278
118 597 284
118 1107 381
118 2084 917
118 2257 535
118 2441 495
119 140 488
119 157 735
119 672 167
119 742 983
119 913 657
119 2548 59
120 1613 943
120 1786 950
121 760 746
121 865 4
121 1954 493
121 2685 802
122 95 795
122 1356 388
122 1545 331
122 1621 847
122 2180 17
122 2276 600
122 2573 461
123 590 105
123 2172 976
123 2411 279
123 2471 9
123 2979 599
124 36 404
124 327 714
124 541 829
124 1524 750
124 1608 871
124 2017 437
124 2210 393
124 2355 682
124 2978 64
125 64 892
125 534 668
125 1516 134
125 1631 624
125 1797 682
125 2039 695
125 2505 481
126 387 760
126 489 169
126 533 766
126 660 273
126 1087 253
126 1730 212
126 2099 609
126 2204 564
126 2703 263
127 383 288
127 490 597
127 668 203
127 1282 732
127 2031 387
128 238 72
128 291 38
128 1224 93
128 1546 691
128 2160 939
128 2172 11
128 2639 403
128 2668 354
128 2937 567
129 224 961
129 485 995
129 1007 767
129 1253 201
129 1728 860
129 1860 594
129 2022 186
129 2326 846
130 155 443
130 871 497
130 2201 132
130 2521 83
130 2605 317
131 139 351
131 351 657
131 354 337
131 2858 595
131 2889 5
132 45 415
132 1350 874
132 2758 48
132 2876 393
133 77 844
133 964 81
133 1060 753
133 1223 882
133 1304 586
133 1868 129
133 2761 476
134 314 570
134 697 22
134 860 622
134 927 985
134 2539 463
134 2639 879
135 319 945
135 514 510
135 559 910
135 751 41
135 1025 270
135 1242 989
135 1307 221
135 2215 610
135 2300 143
135 2399 411
136 702 754
136 1725 768
136 1865 115
136 1994 672
136 2082 521
136 2469 771
136 2510 336
136 2828 715
137 1265 509
137 2433 595
137 2644 588
137 2669 698
138 289 845
138 356 291
138 1046 355
138 1709 262
138 2343 266
138 2425 579
139 131 351
139 409 306
139 483 9
139 1058 16
139 1453 973
139 1712 451
139 2208 686
139 2425 371
140 119 488
140 1124 82
140 1234 632
140 1730 466
140 1831 547
140 2129 131
140 2479 159
140 2654 789
140 2967 738
141 282 30
141 2093 547
141 2248 980
141 2487 317
141 2781 900
142 627 563
142 1074 715
142 1424 540
142 1883 906
142 1985 508
142 2201 165
142 2249 922
143 309 489
143 799 231
143 1009 483
143 1302 263
143 1602 196
143 1664 275
143 2666 576
144 702 585
144 752 74
144 887 675
144 1227 254
144 1709 930
145 521 501
145 868 601
145 1294 423
145 1990 124
145 2261 144
145 2382 139
145 2389 189
145 2466 673
146 1256 399
146 1341 132
146 1430 247
146 1512 274
147 486 804
147 856 845
147 1287 67
147 1846 791
147 2245 165
147 2558 2
147 2803 582
148 261 871
148 679 565
148 1239 371
148 1721 879
148 2824 54
148 2856 605
149 786 25
149 830 445
149 923 66
149 1295 854
149 1600 984
149 1942 700
149 2623 635
150 652 490
150 1558 587
150 1732 805
150 2568 476
150 2884 412
151 698 64
151 867 286
151 1640 119
151 2268 326
152 187 420
152 1465 683
152 1708 802
152 2870 847
153 95 770
153 473 484
154 47 326
154 916 484
154 1540 135
154 2112 710
154 2505 179
155 130 443
155 163 385
155 259 525
155 477 33
155 813 23
155 819 931
155 1263 388
155 1787 237
155 2239 550
156 109 471
156 387 46
156 809 491
156 1310 921
156 1443 276
156 1673 37
156 2184 930
156 2981 357
156 2990 592
157 119 735
157 773 99
157 912 360
157 1739 226
157 2172 260
158 220 608
158 685 773
158 1698 937
158 2015 690
158 2165 524
158 2344 210
158 2510 689
158 2671 953
159 398 785
159 625 53
159 961 857
159 1291 406
160 324 292
160 869 758
160 968 284
160 1849 580
160 2283 155
160 2395 510
160 2606 217
161 916 600
161 1304 899
161 1343 644
162 349 295
162 536 663
162 1518 697
162 1616 97
162 2183 429
162 2747 703
162 2843 957
162 2992 757
163 155 385
163 758 756
163 1127 789
163 2990 547
164 176 450
164 956 570
164 1048 912
164 1464 347
164 1613 684
164 1890 417
164 2003 48
164 2095 207
164 2665 759
164 2963 162
165 316 519
165 767 28
165 2253 912
165 2370 431
165 2926 788
166 750 709
167 551 427
167 1669 539
167 2185 847
167 2312 953
167 2922 914
168 3 788
168 209 149
168 227 125
168 829 866
168 1413 141
168 1896 695
168 2013 107
168 2388 242
169 46 394
169 735 427
169 1130 436
169 1402 619
169 1644 918
169 1688 641
169 2634 549
169 2710 603
170 448 900
170 666 906
170 931 718
170 2124 33
170 2766 407
171 661 279
171 741 195
171 805 169
171 1389 205
171 1960 931
172 324 345
172 1904 58
172 2323 237
172 2506 799
173 251 930
173 275 608
173 1161 138
173 2556 356
173 2578 961
174 67 792
174 182 274
174 1136 412
174 1591 127
174 2372 675
174 2578 981
174 2762 738
175 288 655
175 1408 232
175 2547 392
176 164 450
176 812 699
176 891 754
176 2504 633
176 2561 511
176 2745 39
177 1488 548
177 1588 237
177 1630 773
177 1688 866
177 1779 154
177 2223 558
177 2876 783
178 198 598
178 309 738
178 650 891
178 890 174
178 939 817
178 2240 685
178 2330 930
178 2466 754
178 2627 600
178 2894 84
179 283 38
179 941 69
179 1219 966
179 1434 718
179 1494 244
179 1690 266
180 300 603
180 415 507
180 636 974
180 1337 353
180 1746 839
180 2915 845
180 2919 226
181 320 572
181 464 362
181 2345 568
182 174 274
182 2289 582
183 67 154
183 670 419
183 1210 880
183 1552 658
183 1590 184
183 1904 494
183 2260 382
183 2414 319
183 2613 487
184 383 369
184 726 989
184 1378 553
184 1624 219
185 50 931
185 771 517
185 913 543
185 1467 574
185 1739 428
185 1940 171
185 2206 432
185 2280 647
185 2948 914
186 116 586
186 310 851
186 770 335
186 1083 985
186 1207 855
186 1788 827
186 2702 981
187 105 996
187 152 420
187 249 633
187 397 417
187 462 788
187 2369 458
187 2962 553
188 927 629
188 944 43
188 1297 893
188 1395 415
188 1456 877
189 10 832
189 728 712
189 880 711
189 900 549
189 1164 620
189 2375 24
189 2816 143
190 545 276
190 575 159
190 773 891
190 867 477
190 1138 946
190 1508 798
190 1600 623
191 249 633
191 267 729
191 685 294
191 957 158
191 1043 325
191 2151 581
191 2541 99
192 576 594
192 1090 423
192 2113 989
192 2185 825
193 934 889
193 1328 741
193 2189 870
193 2281 685
193 2627 177
194 87 823
194 402 61
194 614 543
194 1387 732
194 2660 376
194 2794 137
195 841 418
195 1436 147
195 2444 541
195 2977 623
196 1993 959
196 2093 673
196 2256 678
196 2463 960
196 2588 119
196 2807 73
197 61 221
197 1223 671
197 1329 860
198 178 598
198 237 445
198 545 832
198 792 917
198 982 206
198 1000 930
198 1553 556
198 2015 482
198 2175 810
198 2667 856
199 1204 435
199 1516 446
199 1635 241
199 2021 730
200 2061 721
200 2083 968
200 2440 708
200 2519 842
200 2943 605
201 897 304
201 1627 866
201 1729 255
201 1885 159
201 2634 931
201 2911 107
202 899 765
202 1310 406
202 1540 316
202 1747 556
202 1774 882
202 2363 680
203 789 623
203 841 941
203 898 167
203 2033 478
203 2579 810
204 516 830
204 960 763
204 1029 690
204 1305 600
204 1510 505
204 2529 398
204 2617 483
205 638 713
205 950 912
205 1172 254
205 1327 124
205 1885 495
205 1907 480
205 2207 13
205 2807 133
206 2129 584
207 39 998
207 317 941
207 2038 792
207 2176 575
208 374 333
208 511 366
208 1336 308
209 168 149
209 371 639
209 560 15
209 739 130
209 794 985
209 946 70
209 2348 461
210 296 42
210 596 184
210 1817 133
210 2690 600
211 383 367
211 738 531
211 748 447
211 1355 6
211 1517 979
211 1541 536
211 1750 134
211 2081 109
211 2702 405
211 2894 407
212 536 789
212 606 255
212 767 77
212 1209 524
212 1558 686
212 2753 320
212 2866 144
213 698 967
213 859 512
213 878 711
213 1176 153
213 2261 893
213 2954 671
214 1460 655
214 1589 922
214 2060 26
214 2149 148
214 2592 48
215 1502 9
215 1546 477
215 1884 667
215 2436 754
216 281 883
216 616 719
216 685 592
216 961 689
217 241 558
217 646 471
217 656 379
217 667 319
217 1417 718
217 2406 285
217 2482 335
218 295 716
218 514 455
218 768 212
218 874 376
218 2818 733
219 544 743
219 635 610
219 1740 414
220 158 608
220 425 46
220 817 992
220 1125 499
220 1493 599
220 1997 942
220 2183 939
220 2948 881
220 2981 483
220 2982 527
221 297 166
221 1007 862
221 1345 301
221 1443 798
221 1882 603
221 2869 845
222 925 974
222 1266 253
222 1457 266
222 1530 765
222 1754 800
222 2772 221
223 808 438
223 1262 72
223 1298 153
223 2428 198
223 2735 959
224 52 405
224 129 961
224 1473 234
224 1598 337
224 2255 187
224 2796 933
225 480 753
225 498 49
225 1470 497
225 1833 922
225 1973 841
225 2201 94
225 2665 69
225 2761 659
225 2875 877
226 2371 730
226 2995 564
227 168 125
227 288 574
227 370 858
227 446 229
227 1143 142
227 1789 206
227 1925 766
227 2252 728
228 883 126
228 1235 837
228 1336 380
228 2462 7
228 2704 63
228 2957 302
229 1242 615
229 1511 520
229 2283 620
229 2463 987
229 2507 859
230 102 228
230 720 755
230 942 857
230 1250 12
230 1800 775
230 1922 43
230 2735 744
231 1611 757
231 1698 528
231 2249 581
231 2271 636
231 2413 613
231 2481 402
231 2614 81
231 2883 594
232 90 750
232 262 791
232 698 355
232 1034 754
232 2488 772
232 2626 271
232 2657 395
232 2664 233
232 2711 568
232 2817 316
233 709 462
233 745 235
233 1018 359
233 1239 15
233 1732 485
233 2880 934
233 2887 174
233 2900 650
233 2906 45
233 2994 568
234 299 655
234 1357 39
235 417 650
235 1040 446
235 1087 647
235 1373 903
236 663 697
236 1954 763
236 2433 252
237 100 56
237 198 445
237 879 167
237 1057 186
237 1127 715
237 1281 198
237 1471 559
237 1620 47
238 128 72
238 247 739
238 363 752
238 473 233
238 1155 352
239 1065 792
239 1410 665
239 1551 958
239 1985 914
240 70 515
240 252 697
240 567 986
240 578 662
240 676 265
240 686 327
240 1566 90
240 2034 171
240 2164 12
240 2481 28
240 2498 765
240 2787 297
241 217 558
241 925 497
241 1201 538
241 1654 550
241 1957 389
241 2166 862
241 2402 360
241 2677 898
241 2916 346
242 1240 459
242 2482 983
243 1902 460
243 2575 238
244 280 688
244 361 629
244 535 317
244 1005 252
244 1130 339
244 1159 687
244 1311 527
244 1492 640
244 1615 982
244 1886 982
244 2971 402
245 110 436
245 114 609
245 2661 7
245 2875 598
246 756 71
246 2929 945
247 238 739
247 2444 305
247 2796 818
248 912 202
248 1937 786
248 2013 162
248 2121 519
249 187 633
249 191 633
249 265 343
249 622 876
249 1428 183
249 1435 756
249 1872 529
249 2017 39
249 2362 105
249 2435 833
249 2513 520
249 2929 519
250 793 187
250 1128 529
250 1284 490
250 2167 969
250 2892 739
250 2916 842
251 173 930
251 465 568
252 240 697
252 305 338
252 800 251
252 1203 450
252 1468 263
252 1557 773
252 2584 440
252 2843 249
253 81 734
253 1601 623
253 2335 411
253 2425 269
253 2671 836
254 739 111
254 1373 362
254 2223 879
254 2260 30
255 1562 548
255 1750 847
255 1954 937
255 2573 847
255 2895 859
255 2956 191
256 15 962
256 652 667
256 909 398
256 1876 304
256 2307 487
256 2982 27
257 852 806
257 1479 780
257 1497 932
257 2955 884
258 504 816
258 868 249
259 29 382
259 155 525
259 938 388
259 1090 594
259 2177 773
259 2361 473
259 2786 69
260 57 442
260 898 338
260 1337 756
260 1750 552
260 2663 770
260 2718 14
261 148 871
261 268 416
261 545 117
261 660 651
261 805 471
261 923 137
261 1060 229
261 1272 112
261 1306 653
261 1455 146
261 1649 141
261 1893 512
261 1910 501
261 1929 740
261 2804 864
261 2836 524
262 232 791
262 1169 772
262 1838 20
262 2075 85
262 2163 626
262 2445 326
262 2623 579
262 2802 191
263 475 361
263 739 906
263 1206 955
263 2581 162
263 2772 138
264 531 85
264 851 763
264 1232 915
264 1716 751
264 2402 121
264 2465 811
264 2793 893
265 249 343
265 939 959
265 1176 406
265 1287 532
265 1530 37
265 1705 999
265 2052 280
265 2688 121
266 621 514
266 1287 535
266 1313 162
266 1389 795
266 2475 926
266 2476 484
266 2841 176
267 191 729
267 847 10
267 902 833
267 1286 156
267 1314 918
267 2661 679
268 261 416
268 440 329
268 699 188
268 915 956
268 1189 488
268 1688 817
268 2413 373
268 2506 220
268 2556 124
268 2695 753
268 2860 767
268 2909 965
268 2971 794
269 389 670
269 965 578
269 1780 367
269 2581 381
270 745 298
270 795 430
270 1337 800
270 2062 619
270 2405 339
270 2804 432
270 2883 806
271 350 442
271 764 188
271 1199 587
271 1270 572
271 1377 992
271 2367 89
271 2709 515
272 739 170
272 764 955
272 1286 788
272 1531 446
272 1867 302
272 2386 472
272 2435 806
273 459 512
273 646 413
273 1443 758
273 2010 996
273 2412 983
273 2479 288
273 2814 157
273 2958 572
274 1107 997
274 1724 919
274 1761 250
274 2212 270
275 173 608
275 2307 22
276 1898 985
276 2173 737
276 2498 614
276 2600 67
276 2778 402
277 67 553
277 1324 807
277 1577 475
277 2375 913
277 2468 641
277 2875 25
278 36 465
278 292 855
278 2060 691
278 2180 557
278 2304 805
278 2884 551
279 82 959
279 536 271
279 836 294
279 1027 532
279 1325 811
279 1513 185
279 1979 79
280 244 688
280 959 53
280 1931 379
280 2820 223
281 216 883
281 567 495
281 1404 366
281 1643 80
281 1931 325
281 2735 506
282 102 721
282 141 30
282 796 491
282 1590 422
282 2219 610
282 2337 234
282 2979 871
283 179 38
283 725 507
283 1122 938
283 1922 765
283 2096 780
283 2723 291
283 2772 133
284 387 947
284 954 407
284 2497 693
284 2742 226
285 2000 503
285 2023 735
285 2078 939
285 2080 333
286 1219 878
286 1258 986
286 1297 690
286 1344 218
286 1690 370
286 2498 545
287 710 701
287 912 952
287 1206 714
287 1574 325
287 1848 968
287 2314 19
287 2929 916
288 175 655
288 227 574
288 863 622
288 2349 644
288 2606 290
288 2875 507
288 2916 224
289 138 845
289 410 985
289 1087 511
289 2995 621
290 986 45
290 1302 207
290 1353 823
290 1441 515
290 1450 624
290 2137 800
290 2647 156
290 2718 560
290 2858 601
291 128 38
291 402 837
291 1212 247
291 1449 100
291 1695 333
291 2900 245
292 278 855
292 297 962
292 321 890
292 623 998
292 1779 636
292 1869 706
292 2285 968
292 2401 37
292 2892 80
293 2927 835
294 598 802
294 770 884
294 787 622
294 1281 320
295 24 397
295 218 716
295 2940 992
296 210 42
296 778 426
296 1238 5
296 1732 685
296 1869 625
296 2608 480
296 2654 310
297 221 166
297 292 962
297 852 984
297 1081 246
297 1201 878
297 1420 415
297 1439 618
297 2290 467
297 2580 70
298 711 26
298 2123 943
299 32 214
299 234 655
299 965 186
299 1137 622
299 1772 995
299 2196 524
300 180 603
300 642 365
300 1574 575
300 2102 875
300 2937 206
301 302 210
301 1229 240
301 1263 269
301 1537 145
301 2012 603
301 2127 885
301 2378 240
302 301 210
302 796 631
302 1406 400
302 1825 781
302 1872 497
302 2063 616
302 2200 294
302 2351 176
302 2928 933
303 727 875
303 1550 902
303 1685 103
304 1003 773
305 252 338
305 486 992
305 493 940
305 754 221
305 1128 681
305 1183 634
305 1688 923
305 1992 112
305 2462 169
306 1165 891
306 1650 938
306 1965 338
306 2282 968
307 76 31
307 672 536
307 1154 985
307 1553 886
308 89 151
308 1331 150
308 2264 809
309 143 489
309 178 738
309 419 457
309 646 296
309 1229 806
309 1848 69
309 2083 681
309 2455 191
309 2460 852
310 80 384
310 186 851
310 822 483
310 915 192
310 1180 592
310 1326 125
310 1636 376
310 1967 61
310 2074 652
310 2156 120
310 2184 760
310 2211 576
310 2287 403
311 603 223
311 1883 671
311 1962 950
311 2139 226
312 2 1
312 1103 131
312 1166 896
312 1364 765
312 1383 884
312 2048 290
312 2152 440
313 688 587
313 868 953
313 1281 419
313 1506 24
313 1757 434
313 2181 927
314 134 570
314 828 124
314 1163 471
314 2684 303
315 321 936
315 489 326
315 678 767
315 779 477
315 827 274
315 910 607
315 1125 107
315 1330 750
315 2183 787
315 2782 442
316 165 519
316 590 131
316 737 268
316 867 55
316 1274 519
316 1611 253
316 2892 774
317 207 941
317 732 335
317 1398 210
317 1866 328
317 2094 480
317 2679 851
317 2752 460
317 2800 705
317 2933 334
318 857 220
318 1543 255
318 1935 994
318 2375 827
319 45 939
319 135 945
319 757 955
319 898 92
319 934 581
319 1171 683
319 1670 903
319 2467 335
319 2884 646
320 181 572
320 1102 392
320 1271 364
320 1635 726
320 1659 498
320 2081 268
320 2542 615
321 292 890
321 315 936
321 1373 74
321 1583 479
321 1645 135
321 1795 251
321 2786 709
322 947 523
322 1415 183
322 2871 192
323 328 188
323 963 344
323 1071 600
323 1283 516
323 1836 649
323 2111 934
324 83 325
324 160 292
324 172 345
324 465 303
324 586 670
324 708 609
324 841 95
324 917 851
324 2323 857
324 2455 956
325 1532 338
325 1893 996
325 2475 938
326 87 793
326 1940 418
326 2416 417
326 2839 158
327 124 714
327 565 941
327 1279 575
327 1626 334
327 1805 64
328 323 188
328 430 602
328 739 290
328 1192 469
328 2211 973
328 2735 837
328 2901 524
329 85 568
329 403 692
329 1137 687
329 1777 856
329 2394 118
329 2843 753
330 57 758
330 454 925
330 1785 600
330 2465 962
330 2769 847
330 2876 955
330 2886 593
331 517 877
331 998 385
331 1119 394
331 1321 711
331 2096 981
331 2139 885
331 2571 843
331 2875 448
332 1222 62
332 1243 438
332 1319 610
332 2459 715
332 2537 122
333 797 126
333 1272 661
333 1349 687
333 1701 299
333 2188 979
333 2290 140
333 2363 343
334 108 190
334 724 492
335 517 803
335 547 500
335 682 594
335 692 983
335 1720 142
335 2362 707
336 521 547
336 1250 124
337 746 212
337 1556 155
337 2425 597
337 2584 435
337 2604 694
337 2951 671
338 8 543
338 985 642
338 1546 315
338 2793 157
339 85 490
339 1710 519
339 2068 49
339 2354 670
339 2891 510
340 611 258
340 1094 234
340 1312 148
340 1415 19
340 2021 549
340 2266 842
340 2760 674
340 2779 398
340 2838 68
341 1268 467
341 2590 271
342 521 682
342 1219 663
342 1224 515
342 2788 349
343 1548 705
343 2067 308
343 2185 259
344 1393 15
344 2017 557
344 2233 755
344 2571 411
344 2602 567
344 2759 50
345 363 192
345 2604 867
346 1219 851
346 1400 274
346 1927 654
347 566 620
347 832 40
347 1393 61
347 1601 217
347 1679 897
347 2665 754
348 2 8
348 44 910
348 2579 114
349 162 295
349 426 543
349 576 695
349 896 423
349 1111 300
349 1791 878
349 2470 466
349 2833 422
350 70 448
350 271 442
350 688 250
350 818 423
350 1825 681
351 82 697
351 131 657
351 355 384
351 745 526
351 1644 176
351 1812 836
351 1924 543
351 2163 21
351 2695 248
352 463 604
352 1070 48
352 1602 137
353 89 905
353 497 602
353 1056 742
354 131 337
354 522 688
354 600 704
354 741 602
354 917 791
354 1270 425
354 1958 462
354 2178 174
